run	round	experiment	type	concurrent_type	workload	co_workload	cgroup	cpu_util_pct	gpu_util_pct	gpu_power_W	gpu0_util_pct	gpu0_power_W	gpu1_util_pct	gpu1_power_W	cpu_alloc_cores	gpu_alloc	gpu_alloc_cards	mem_alloc_GB	mem_used_MB	io_read_MB	io_write_MB	io_total_MB	duration_s
run5	run5	A2RN_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	yolo.slice	100.8	38.1	60.56	38.1	60.56	99.8	160.88	2	GPU0	1	4.0	1350.6	0.0	0.0	0.0	68.0
run5	run5	A2RN_concurrent	concurrent	ai_ai	RN(ResNet18)	A2(YOLO_Medium)	nodejs.slice	100.1	99.8	160.88	38.1	60.56	99.8	160.88	2	GPU1	1	4.0	1086.8	0.0	0.0	0.0	68.0
run5	run5	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	GPT(GPT-2)	yolo.slice	100.9	36.9	60.27	36.9	60.27	39.0	75.30	2	GPU0	1	4.0	1518.8	0.0	0.0	0.0	68.0
run5	run5	A2GPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	A2(YOLO_Medium)	nodejs.slice	100.1	39.0	75.30	36.9	60.27	39.0	75.30	2	GPU1	1	4.0	1872.4	0.0	0.0	0.0	68.0
run5	run5	RNGPT_concurrent	concurrent	ai_ai	RN(ResNet18)	GPT(GPT-2)	yolo.slice	100.1	100.0	140.05	100.0	140.05	38.4	77.49	2	GPU0	1	4.0	1070.7	0.0	0.0	0.0	68.0
run5	run5	RNGPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	RN(ResNet18)	nodejs.slice	100.0	38.4	77.49	100.0	140.05	38.4	77.49	2	GPU1	1	4.0	1860.7	0.0	0.0	0.0	68.0
run6	run6	A2_yolo_medium	solo	-	A2(YOLO_Medium)	-	yolo.slice	101.1	38.0	60.26	38.0	60.26	0.0	13.48	2	GPU0	1	4.0	1773.2	0.0	0.0	0.0	67.9
run6	run6	RN_resnet18	solo	-	RN(ResNet18)	-	yolo.slice	100.0	100.0	138.89	100.0	138.89	0.0	13.03	2	GPU0	1	4.0	1279.8	0.0	0.0	0.0	68.0
run6	run6	GPT_gpt2	solo	-	GPT(GPT-2)	-	yolo.slice	100.1	39.7	55.42	39.7	55.42	0.0	12.69	2	GPU0	1	4.0	2211.7	0.0	0.0	0.0	67.9
run6	run6	B2_nodejs_heavy	solo	-	B2(Node_Heavy)	-	nodejs.slice	0.0	0.0	12.57	0.0	12.22	0.0	12.57	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	67.9
run6	run6	A2B2_concurrent	concurrent	ai_b2	A2(YOLO_Medium)	B2(Node_Heavy)	yolo.slice	100.7	35.6	57.14	35.6	57.14	0.0	12.65	2	GPU0	1	4.0	1769.0	0.0	0.0	0.0	67.8
run6	run6	A2B2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	A2(YOLO_Medium)	nodejs.slice	0.0	0.0	12.65	35.6	57.14	0.0	12.65	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	67.8
run6	run6	RNB2_concurrent	concurrent	ai_b2	RN(ResNet18)	B2(Node_Heavy)	yolo.slice	100.0	99.0	137.63	99.0	137.63	0.0	12.59	2	GPU0	1	4.0	1276.7	0.0	0.0	0.0	68.7
run6	run6	RNB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	RN(ResNet18)	nodejs.slice	0.0	0.0	12.59	99.0	137.63	0.0	12.59	2	GPU1(idle)	0	4.0	0.1	0.0	0.0	0.0	68.7
run6	run6	GPTB2_concurrent	concurrent	ai_b2	GPT(GPT-2)	B2(Node_Heavy)	yolo.slice	100.0	35.8	53.41	35.8	53.41	0.0	12.40	2	GPU0	1	4.0	2196.2	0.0	0.0	0.0	68.6
run6	run6	GPTB2_concurrent	concurrent	ai_b2	B2(Node_Heavy)	GPT(GPT-2)	nodejs.slice	0.0	0.0	12.40	35.8	53.41	0.0	12.40	2	GPU1(idle)	0	4.0	0.0	0.0	0.0	0.0	68.6
run6	run6	A2RN_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	RN(ResNet18)	yolo.slice	100.8	38.1	60.69	38.1	60.69	99.8	161.03	2	GPU0	1	4.0	1370.4	0.0	0.0	0.0	69.0
run6	run6	A2RN_concurrent	concurrent	ai_ai	RN(ResNet18)	A2(YOLO_Medium)	nodejs.slice	100.1	99.8	161.03	38.1	60.69	99.8	161.03	2	GPU1	1	4.0	1075.7	0.0	0.0	0.0	69.0
run6	run6	A2GPT_concurrent	concurrent	ai_ai	A2(YOLO_Medium)	GPT(GPT-2)	yolo.slice	100.9	38.4	60.58	38.4	60.58	38.7	84.23	2	GPU0	1	4.0	1508.8	0.0	0.0	0.0	69.2
run6	run6	A2GPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	A2(YOLO_Medium)	nodejs.slice	100.0	38.7	84.23	38.4	60.58	38.7	84.23	2	GPU1	1	4.0	1885.9	0.0	0.0	0.0	69.2
run6	run6	RNGPT_concurrent	concurrent	ai_ai	RN(ResNet18)	GPT(GPT-2)	yolo.slice	100.1	100.0	140.13	100.0	140.13	38.5	84.59	2	GPU0	1	4.0	1095.2	0.0	0.0	0.0	67.9
run6	run6	RNGPT_concurrent	concurrent	ai_ai	GPT(GPT-2)	RN(ResNet18)	nodejs.slice	100.1	38.5	84.59	100.0	140.13	38.5	84.59	2	GPU1	1	4.0	1835.2	0.0	0.0	0.0	67.9
