timestamp,cpu_pct,iowait_pct,rapl_package_w,rapl_core_w,rapl_dram_w,gpu_power_w,gpu_temp_c,gpu_util_pct,io_read_kbs,io_write_kbs,mem_used_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,cpu4_mhz,cpu5_mhz,cpu6_mhz,cpu7_mhz,cpu8_mhz,cpu9_mhz,cpu10_mhz,cpu11_mhz,cpu12_mhz,cpu13_mhz,cpu14_mhz,cpu15_mhz
2026-02-10T12:24:06.785,3.6,0.0,5.13,1.56,0.00,11.52,27,7,0.0,0.0,12.0,3865,929,990,960,892,901,898,900,895,900,900,900,900,4111,900,901
2026-02-10T12:24:08.153,3.1,0.0,4.48,1.08,0.00,11.48,27,7,0.0,0.0,12.0,4104,1039,896,900,3852,900,900,900,900,900,900,900,900,898,895,900
2026-02-10T12:24:09.529,5.7,0.1,8.46,2.57,0.00,11.56,27,18,0.0,139.7,12.2,3529,2555,3901,1456,896,1580,1097,2375,913,1373,925,1523,3132,1456,898,1105
2026-02-10T12:24:10.829,8.2,0.0,7.82,1.81,0.00,11.92,27,22,0.0,0.0,12.2,1480,998,916,1194,902,1630,3914,914,998,954,1405,1133,1121,1316,1005,1669
2026-02-10T12:24:12.169,7.6,0.0,5.64,1.65,0.00,12.06,27,24,0.0,0.0,12.0,4232,2466,1296,900,900,892,900,1431,896,900,900,901,3790,900,900,900
2026-02-10T12:24:13.505,3.8,0.0,4.68,1.08,0.00,11.53,27,5,0.0,0.0,12.0,2908,1633,900,900,895,933,3861,1496,1091,896,900,900,1339,900,900,900
2026-02-10T12:24:14.869,2.9,0.1,5.15,1.18,0.00,11.41,27,6,0.0,130.8,12.0,4728,1226,950,900,899,900,896,900,900,900,3678,900,900,900,900,900
2026-02-10T12:24:16.233,2.8,0.0,4.55,1.03,0.00,11.17,27,10,0.0,0.0,12.0,2131,2645,2647,3204,1145,897,900,901,895,900,900,900,899,901,900,900
2026-02-10T12:24:17.589,3.4,0.0,4.57,1.05,0.00,11.27,27,7,0.0,0.0,12.0,4331,1220,923,900,4194,1461,898,900,901,900,900,900,900,900,900,900
2026-02-10T12:24:18.933,2.7,0.0,4.58,1.11,0.00,11.37,27,7,0.0,23.8,12.0,4791,1530,900,900,897,901,900,900,900,900,899,900,900,4359,900,895
2026-02-10T12:24:20.293,3.1,0.1,6.34,1.27,0.00,11.52,27,7,0.0,32.3,12.0,4579,1353,900,898,900,900,900,900,893,898,900,900,3494,900,899,900
2026-02-10T12:24:21.669,3.0,0.0,5.42,1.11,0.00,11.40,27,5,0.0,0.0,12.0,4900,951,3660,894,1204,1727,899,1473,900,900,1295,900,901,901,891,900
2026-02-10T12:24:22.989,2.4,0.0,4.38,1.03,0.00,11.39,27,5,0.0,0.0,12.0,4713,1110,900,900,900,900,3898,901,900,900,900,900,899,900,900,900
2026-02-10T12:24:24.353,3.9,0.1,6.23,2.44,0.00,11.54,27,15,0.0,137.0,12.2,2680,1256,909,1052,1733,904,1214,2371,906,1012,1000,969,915,1009,1034,3370
2026-02-10T12:24:25.705,7.7,0.0,5.93,1.90,0.00,11.88,27,27,0.0,0.0,12.2,1602,4301,1523,2487,1655,921,1227,891,900,889,941,1081,2595,900,1410,1011
2026-02-10T12:24:27.053,7.6,0.0,5.48,1.45,0.00,12.00,27,23,0.0,0.0,12.1,1453,4209,1603,1005,901,898,1397,900,893,897,900,900,900,1198,2255,897
2026-02-10T12:24:28.393,5.3,0.0,4.72,1.06,0.00,11.59,27,8,0.0,0.0,12.0,4797,2495,923,900,900,901,900,900,900,900,900,900,900,2485,900,870
2026-02-10T12:24:29.773,3.4,0.1,4.69,0.94,0.00,11.38,27,7,0.0,151.7,12.0,4127,1245,900,897,2350,901,898,1063,900,900,900,900,895,900,900,896
2026-02-10T12:24:31.145,3.8,0.0,4.80,0.90,0.00,11.38,27,10,0.0,0.0,12.0,2147,1342,1567,1955,2335,963,1438,899,901,1731,900,900,900,900,1216,901
2026-02-10T12:24:32.437,4.2,0.0,5.94,1.00,0.00,11.26,27,5,0.0,0.0,12.0,4228,1589,900,896,900,900,3992,900,900,1238,900,1176,900,900,900,901
2026-02-10T12:24:33.781,3.0,0.0,4.44,1.07,0.00,11.27,27,7,0.0,0.0,12.0,4105,2044,900,898,3148,900,896,900,890,901,900,901,1993,1207,2859,1153
2026-02-10T12:24:35.129,2.8,0.1,5.17,1.31,0.00,11.55,27,9,0.0,134.3,12.0,2371,1781,1756,3794,921,896,900,2692,901,900,900,900,896,900,1033,900
2026-02-10T12:24:36.441,3.4,0.0,4.74,0.97,0.00,11.57,27,5,0.0,0.0,12.0,4358,1294,900,900,3671,900,900,900,898,900,900,900,900,900,900,901
2026-02-10T12:24:37.805,2.7,0.0,4.41,0.94,0.00,11.46,27,5,0.0,0.0,12.0,3947,4872,1688,900,884,900,899,900,900,901,900,900,893,900,899,901
2026-02-10T12:24:39.173,2.9,0.1,4.62,1.08,0.00,11.37,27,11,0.0,29.3,12.0,3967,1522,900,900,900,900,900,895,880,1353,3925,4307,4629,3676,1883,1200
2026-02-10T12:24:40.537,8.3,0.0,7.08,2.98,0.00,11.72,27,19,0.0,0.0,12.2,4323,1082,973,898,921,1374,2354,1229,2037,1471,972,1227,2473,1276,936,921
2026-02-10T12:24:41.857,8.4,0.0,7.05,1.67,0.00,11.78,27,21,0.0,0.0,12.3,2257,2605,1165,888,900,900,900,956,973,1371,897,900,897,900,895,994
2026-02-10T12:24:43.197,4.8,0.0,5.28,0.92,0.00,11.81,27,11,0.0,0.0,12.0,4119,2090,4530,2626,900,1827,900,892,900,900,900,1342,900,900,900,900
2026-02-10T12:24:44.525,2.3,0.1,5.13,1.47,0.00,11.49,27,5,0.0,150.9,12.0,3774,1328,4888,940,900,900,900,900,900,890,900,892,901,900,900,1015
2026-02-10T12:24:45.877,3.0,0.0,4.51,0.98,0.00,11.35,27,5,0.0,0.0,12.0,1673,1505,915,900,900,887,4065,900,899,900,900,896,900,1169,894,900
2026-02-10T12:24:47.225,4.6,0.0,6.27,2.65,0.00,11.39,27,5,0.0,0.0,12.0,2923,1744,1323,900,1491,900,900,900,900,3894,895,900,900,900,895,900
2026-02-10T12:24:48.557,2.7,0.0,4.36,0.99,0.00,11.53,27,7,0.0,0.0,12.0,3680,1501,898,900,900,900,900,900,3940,1298,900,900,900,900,900,892
2026-02-10T12:24:49.901,3.2,0.1,4.83,0.99,0.00,11.58,27,5,0.0,142.9,12.0,3310,1381,4201,1902,899,900,899,900,900,899,900,900,897,900,899,900
2026-02-10T12:24:51.269,4.7,0.0,4.86,1.16,0.00,11.48,27,7,0.0,0.0,12.0,3057,1426,895,898,900,900,900,900,900,893,896,1379,900,900,2554,900
2026-02-10T12:24:52.625,3.1,0.0,4.87,1.04,0.00,11.40,27,7,0.0,0.0,12.0,4426,1685,2831,900,899,1567,896,900,900,3941,900,900,900,900,900,900
2026-02-10T12:24:53.957,3.0,0.0,5.88,1.00,0.00,11.38,27,8,0.0,0.0,12.0,4116,2425,1388,894,900,901,900,900,896,900,901,1264,901,1025,900,900
2026-02-10T12:24:55.309,6.4,0.0,6.81,2.63,0.00,11.49,27,12,0.0,30.2,12.2,2041,4431,1055,930,903,1528,900,999,912,2229,900,3041,1228,911,1457,1200
2026-02-10T12:24:56.653,7.5,0.0,5.74,1.58,0.00,11.82,27,21,0.0,101.2,12.2,2272,4297,1880,919,912,911,1255,996,1004,2952,2700,927,1323,1129,1288,1645
